䲔,10,224,153,254,244,31,19,24
䲠,2,92,73,253,250,32,18,11
䳗,7,162,105,255,249,34,16,10
䴔,8,161,167,252,251,37,13,9
䴕,5,145,130,250,250,34,15,7
䴘,5,122,166,252,252,32,17,6
䴙,8,124,216,253,251,33,17,11
䵹,3,105,110,250,245,30,18,12
䶑,4,121,130,253,249,28,21,17
䶮,2,78,71,254,249,37,13,3
一,1,57,6,223,24,0,0,2
丁,1,59,53,229,207,19,11,2
丂,1,57,55,222,217,18,15,2
七,1,59,55,231,216,25,12,2
丄,1,60,54,233,212,32,6,2
丅,1,59,55,229,214,21,11,2
丆,1,61,41,240,161,21,5,2
万,1,59,53,229,208,18,14,2
丈,1,59,62,229,241,25,16,2
三,3,149,18,229,189,20,7,4
上,1,59,53,230,209,29,7,2
下,1,58,53,228,209,18,13,2
丌,1,60,56,236,218,20,15,2
不,2,84,76,237,216,19,16,3
与,1,60,60,236,233,29,12,2
丏,1,57,54,222,213,18,14,3
丐,1,57,54,222,213,17,15,2
丑,1,62,54,242,211,20,17,4
丒,3,147,89,218,210,16,15,4
专,1,62,63,244,247,39,8,2
且,1,62,54,243,213,24,13,5
丕,3,133,69,227,208,18,15,4
世,1,61,60,239,235,26,17,3
丗,1,62,58,243,227,25,16,4
丘,1,62,55,242,215,25,14,3
丙,1,60,56,235,220,18,18,2
业,2,79,86,251,223,34,9,3
丛,3,130,114,246,227,34,10,4
东,3,101,106,227,248,33,10,4
丝,3,118,101,244,220,32,10,4
丞,3,133,88,241,223,21,18,4
丠,3,112,106,240,226,33,9,4
両,1,60,57,233,222,18,19,2
丢,1,62,62,241,242,36,9,2
丣,1,59,58,231,228,18,20,4
两,1,60,56,235,220,15,21,5
严,2,74,75,247,238,33,11,4
丧,3,87,92,249,242,37,11,4
丨,1,7,59,30,229,0,0,2
丩,1,28,60,110,233,0,0,2
个,2,68,69,236,227,28,12,3
丫,2,48,79,186,234,21,6,3
丬,2,33,75,86,235,0,0,3
中,1,52,60,203,236,18,16,4
丮,2,98,107,232,223,21,14,3
丰,1,58,62,227,241,23,18,2
丱,2,47,116,212,230,20,14,3
串,1,51,62,201,243,16,19,6
丳,1,56,62,220,244,28,13,9
临,5,101,182,224,247,28,13,8
丵,1,59,61,229,239,22,19,3
丶,1,39,36,155,141,1,1,2
丷,2,45,54,200,120,0,0,3
丸,1,61,59,238,230,27,13,2
丹,2,78,75,242,230,23,17,4
为,3,89,92,243,246,38,9,4
主,1,59,58,229,228,26,15,2
丼,2,75,75,240,240,23,21,4
丽,5,130,146,249,236,31,13,6
